Mobile no, Journey Details(PNR or UTS), PNR no, Type, Sub type(details), Incident date, Upload incident regarding photos, Grievance Description
9876543237, PNR1234701234, 1234701234, Bed Roll, Pillow covers were torn, 2024-09-01, [Link to photo], The pillow covers provided were torn and in bad condition.
9876543238, UTS9876589012, 9876589012, Miscellaneous, Lack of information at stations, 2024-08-30, [Link to photo], Information regarding train arrivals and departures was not properly displayed at the station.
9876543239, PNR1234712345, 1234712345, Medical Assistance, Delay in medical help, 2024-09-01, [Link to photo], There was a significant delay in providing medical assistance during an emergency.
9876543240, PNR1234723456, 1234723456, Security, No security check at the entrance, 2024-08-31, [Link to photo], There was no security check at the station entrance, posing a security risk.
9876543241, UTS9876590123, 9876590123, Divyangjan Facilities, No assistance provided for boarding, 2024-09-02, [Link to photo], No assistance was provided for a wheelchair user to board the train.
9876543242, PNR1234734567, 1234734567, Facilities for Women with Special needs, Lack of sanitary facilities, 2024-09-01, [Link to photo], Sanitary facilities for women were not available on the train.
9876543243, PNR1234745678, 1234745678, Electrical Equipment, Lights flickering in the coach, 2024-08-30, [Link to photo], The lights in the coach were flickering, causing inconvenience to passengers.
9876543244, PNR1234756789, 1234756789, Coach - Cleanliness, Dirty washrooms, 2024-08-31, [Link to photo], The washrooms in the coach were dirty and unhygienic.
9876543245, UTS9876601234, 9876601234, Punctuality, Train left early without announcement, 2024-09-02, [Link to photo], The train left the station earlier than scheduled without any prior announcement.
9876543246, PNR1234767890, 1234767890, Water Availability, Water dispenser not working, 2024-09-01, [Link to photo], The water dispenser in the coach was not working, leaving passengers without drinking water.
9876543247, PNR1234778901, 1234778901, Coach - Maintenance, Broken windows, 2024-08-31, [Link to photo], The windows in the coach were broken, causing discomfort during the journey.
9876543248, PNR1234789012, 1234789012, Catering & Vending Services, Food not delivered, 2024-08-30, [Link to photo], The food ordered
9876543249, PNR1245678901, 1245678901, Security, Theft of wallet and phone, 2024-09-01, [Link to photo], My wallet and phone
9876543250, UTS1234567890, 1234567890, Security, Bag snatched at the station, 2024-09-02, [Link to photo], A thief snatched my bag at the station and ran away. No security was present.
9876543251, PNR1234780123, 1234780123, Security, Robbery during the journey, 2024-09-01, [Link to photo], A group of men robbed passengers in my coach during the night. No security personnel were available.
9876543252, PNR1234781234, 1234781234, Security, Pickpocketing on the platform, 2024-09-02, [Link to photo], My wallet was pickpocketed on the platform while I was boarding the train.
9876543253, PNR1234782345, 1234782345, Security, Luggage stolen from the train, 2024-09-01, [Link to photo], My luggage was stolen from the overhead compartment during the journey.
9876543254, PNR1234783456, 1234783456, Security, Jewelry snatched in the coach, 2024-09-02, [Link to photo], My jewelry was snatched by a fellow passenger who ran away when the train stopped.
9876543255, PNR1234784567, 1234784567, Security, Robbery of valuables at night, 2024-09-01, [Link to photo], My bag containing valuables was stolen while I was asleep during the night journey.
9876543256, UTS9876543210, 9876543210, Security, Robbery of cash and documents, 2024-09-02, [Link to photo], A thief stole my cash and important documents from my bag in the coach.
9876543257, PNR1234785678, 1234785678, Security, Theft of laptop and gadgets, 2024-09-01, [Link to photo], My laptop and other gadgets were stolen from my bag during the train journey.
9876543258, PNR1234786789, 1234786789, Security, Robbery of personal belongings, 2024-09-02, [Link to photo], My personal belongings were robbed by unidentified persons while the train was halted.
